IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
172.64.148.152,4,4,0.00,163.26,1.69,SJC
162.159.48.91,4,4,0.00,164.11,0.98,SJC
104.18.164.207,4,4,0.00,166.43,0.42,SJC
