IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
172.67.29.199,4,4,0.00,14.58,224.46,LAX
198.41.223.44,4,4,0.00,14.80,191.07,LAX
172.64.158.199,4,4,0.00,14.83,149.84,LAX
