IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
104.18.86.234,4,4,0.00,161.49,2.37,SJC
172.64.53.87,4,4,0.00,159.20,1.37,SJC
172.64.229.57,4,4,0.00,130.01,0.25,NRT
