IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
35.197.23.75,4,4,0.00,197.18,0.19
144.126.147.42,4,4,0.00,198.02,0.04
104.168.248.86,4,4,0.00,188.44,0.02
