IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
185.140.12.239,4,4,0.00,183.32,2.13
193.37.70.114,4,4,0.00,198.65,1.17
195.133.64.185,4,4,0.00,197.37,0.02
