IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
141.147.184.160,4,4,0.00,126.59,5.08,NRT
140.238.60.225,4,4,0.00,119.68,4.86,NRT
18.176.8.247,4,4,0.00,119.74,2.86,NRT
