IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
164.52.2.98,4,4,0.00,97.27,5.99,SIN
160.22.79.174,4,4,0.00,100.44,5.99,SIN
51.79.158.126,4,4,0.00,101.82,1.69,SIN
