IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
210.138.37.53,4,4,0.00,81.39,0.17
13.230.34.30,4,4,0.00,79.03,0.07
18.176.8.247,4,4,0.00,69.66,0.07
