IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
91.149.239.238,4,4,0.00,65.96,63.24,LAX
148.135.15.148,4,4,0.00,67.70,59.46,LAX
166.1.190.24,4,4,0.00,67.99,51.42,LAX
