IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
8.212.48.236,4,4,0.00,110.13,6.00,HKG
219.76.13.183,4,4,0.00,109.10,5.96,HKG
205.198.64.235,4,4,0.00,85.79,5.80,HKG
219.76.13.166,4,4,0.00,84.95,5.74,HKG
43.249.172.15,4,4,0.00,89.41,5.67,HKG
219.76.13.180,4,4,0.00,96.46,5.30,HKG
203.9.150.104,4,4,0.00,91.81,4.09,HKG
47.76.218.163,4,4,0.00,97.23,1.30,HKG
156.234.17.144,4,4,0.00,105.43,1.04,HKG
43.128.26.74,4,4,0.00,107.32,0.39,HKG
