IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.160.118.77,80,false,LAX,North America,Los Angeles,300 ms,971 kB/s
35.232.39.116,80,false,EWR,North America,Newark,225 ms,42 kB/s
35.188.87.85,80,false,ORD,North America,Chicago,242 ms,0 kB/s
