IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,81 ms,13167 kB/s
13.229.159.215,443,true,SIN,Asia Pacific,Singapore,124 ms,9159 kB/s
35.167.93.200,443,true,PDX,North America,Portland,200 ms,7112 kB/s
13.40.128.14,8443,true,LHR,Europe,London,197 ms,6772 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,252 ms,6142 kB/s
50.112.166.63,443,true,PDX,North America,Portland,227 ms,6108 kB/s
204.110.223.167,80,true,CMH,North America,Columbus,239 ms,5980 kB/s
44.226.147.29,443,true,PDX,North America,Portland,199 ms,4660 kB/s
18.135.67.188,443,true,LHR,Europe,London,205 ms,1223 kB/s
18.135.188.86,443,true,LHR,Europe,London,198 ms,950 kB/s
204.110.221.192,80,true,YUL,North America,Montréal,265 ms,467 kB/s
44.227.22.10,443,true,PDX,North America,Portland,218 ms,432 kB/s
43.206.192.211,443,true,NRT,Asia Pacific,Tokyo,86 ms,262 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,244 ms,195 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,248 ms,137 kB/s
204.110.221.138,80,true,YUL,North America,Montréal,261 ms,131 kB/s
204.110.221.83,80,true,YUL,North America,Montréal,250 ms,112 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,317 ms,67 kB/s
204.110.223.40,80,true,CMH,North America,Columbus,240 ms,51 kB/s
204.110.223.180,80,true,CMH,North America,Columbus,234 ms,48 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,237 ms,37 kB/s
3.7.108.69,443,true,BOM,Asia Pacific,Mumbai,310 ms,32 kB/s
