IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.9.137.193,8443,true,SJC,North America,San Jose,169 ms,7534 kB/s
152.70.123.225,8443,true,SJC,North America,San Jose,173 ms,7529 kB/s
141.148.236.154,443,true,FRA,Europe,Frankfurt,250 ms,4361 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,204 ms,4171 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,273 ms,3221 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,261 ms,3214 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,224 ms,2895 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,359 ms,2762 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,211 ms,2706 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,310 ms,2054 kB/s
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,191 ms,1852 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,271 ms,1798 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,270 ms,1667 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,269 ms,1619 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,258 ms,1587 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,302 ms,1364 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,301 ms,1126 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,358 ms,1020 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,269 ms,950 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,306 ms,739 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,367 ms,599 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,311 ms,585 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,177 ms,520 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,251 ms,467 kB/s
132.145.54.84,8443,true,LHR,Europe,London,256 ms,371 kB/s
192.9.250.241,443,true,SJC,North America,San Jose,175 ms,304 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,254 ms,275 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,298 ms,262 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,300 ms,243 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,316 ms,224 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,365 ms,211 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,271 ms,163 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,303 ms,128 kB/s
144.24.243.207,443,true,ZRH,Europe,Zurich,257 ms,112 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,296 ms,61 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,249 ms,48 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,292 ms,41 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,269 ms,30 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,273 ms,29 kB/s
193.123.235.59,443,true,ICN,Asia Pacific,Seoul,192 ms,0 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,254 ms,0 kB/s
132.145.127.203,8443,true,NRT,Asia Pacific,Tokyo,189 ms,0 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,185 ms,0 kB/s
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,222 ms,0 kB/s
140.238.86.228,443,true,LHR,Europe,London,275 ms,0 kB/s
